crawled_at,site_type,site_name,url,title,status,relevance_label,relevance_score,quarantined,content_excluded,metadata_items,reasons
2026-04-18T05:41:31.878407+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-single-malt-whisky-greedy-angels-chairmans-reserve-8-years-old-50-duplicate/,8 Year Old Whisky | Premium Indian Single Malt Whisky | 50% ABV,ok:direct-parallel,Medium,38,0,0,22,rich extracted metadata
2026-04-18T05:41:31.046544+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-single-malt-whisky-greedy-angels-chairmans-reserve-12-years-old-60-duplicate/,12 Year Old Bourbon Cask Whisky | 60% ABV | Best Indian Whisky,ok:direct-parallel,Medium,38,0,0,23,rich extracted metadata
2026-04-18T05:41:30.231911+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-single-malt-whisky-greedy-angels-ex-bourbon-finish-chairmans-reserve-12-years-old-60-duplicate/,Amrut Greedy Angels 12-Year Old Whisky | Best Indian Whisky,ok:direct-parallel,Medium,38,0,0,20,rich extracted metadata
2026-04-18T05:40:17.350115+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-single-malt-whisky-greedy-angels-chairmans-reserve-10-years-old-55-duplicate/,Chairman’s Reserve | 10 Yr Old Single Malt Whisky | Indian Whisky,ok:direct-parallel,Medium,38,0,0,22,rich extracted metadata
2026-04-18T05:40:16.519567+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-single-malt-whisky-double-cask-46-duplicate/,Amrut Double Cask Single Malt | Single Malt Whisky | 46%,ok:direct-parallel,Medium,38,0,0,29,rich extracted metadata
2026-04-18T05:40:15.694689+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-rye-single-malt-whisky-50-duplicate/,Amrut Rye Single Malt | India’s First 100% Malted Rye Whisky,ok:direct-parallel,Medium,38,0,0,24,rich extracted metadata
2026-04-18T05:40:14.877785+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-single-cask-single-grain-indian-whisky-57-1-duplicate/,Amrut Single Grain Whisky | 57.1% ABV | Rare Indian Whisky,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T05:38:41.487480+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-rajigala-indian-single-malt-whisky-40-duplicate/,Amrut Rajigala | Premium Indian Whisky | Best Single Malt Whisky,ok:direct-parallel,Medium,30,0,0,20,rich extracted metadata
2026-04-18T05:38:40.660988+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-peated-indian-single-malt-whisky-cask-strength-62-8-duplicate/,Amrut Peated Cask Strength | 62.8% | Award Winning Indian Malt,ok:direct-parallel,Medium,38,0,0,23,rich extracted metadata
2026-04-18T05:38:39.845820+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-peated-indiansingle-malt-whisky-46/,Amrut Peated Whisky | Best Whiskies in India | 46% ABV,ok:direct-parallel,Medium,38,0,0,20,rich extracted metadata
2026-04-18T05:38:39.027501+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-portonova-single-malt-whisky-62-1-old-label-duplicate/,Premium Indian Whisky with Port Pipe Finish | Best Single Malt Whisky,ok:direct-parallel,Medium,38,0,0,22,rich extracted metadata
2026-04-18T05:37:09.466769+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-master-distillers-reserve-indian-single-malt-whisky-50-duplicate/,Amrut Master Distiller’s Reserve | Award-Winning Premium Whisky,ok:direct-parallel,Medium,30,0,0,12,rich extracted metadata
2026-04-18T05:37:08.640094+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-naarangi-single-malt-whisky-50-duplicate/,Amrut Naarangi | Best Indian Whisky | Limited Edition Whisky | 50%,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T05:37:07.814097+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-nativity-indian-single-malt-whisky-46-bangalore-duty-free-duplicate/,Amrut Nativity | Award Winning Indian Single Malt Whisky | 46%,ok:direct-parallel,Medium,38,0,0,29,rich extracted metadata
2026-04-18T05:37:06.995517+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-kadhambamsingle-maltwhisky-50-duplicate/,Amrut Kadhambam 50% | Single Malt Whisky | Premium Whisky,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T05:35:47.951060+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-singlemalt-whisky-caskstrength-61-8/,Amrut Indian Single Malt Whisky | 61.8% | Premium Indian Whisky,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T05:35:47.126309+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-portonova-62-1-duplicate/,Amrut Portonova | 62.1% | Premium Indian Single Malt Whisky,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T05:35:46.309632+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-special-limited-edition-50-madira-finish-duplicate/,Amrut Indian Single Malt Whisky 50% | Best Indian Whisky,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T05:35:45.487241+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-special-limited-edition-60-duplicate/,Amrut 60% ABV Single Malt | Best Indian Whisky Limited Release,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T05:34:21.322667+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-bagheera-sherry-cask-finish-46-3-pack-duplicate/,Amrut Bagheera | Best Indian Single Malt Whisky | Sherry Cask,ok:direct-parallel,Medium,38,0,0,30,rich extracted metadata
2026-04-18T05:34:20.497042+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-46-duplicate/,Amrut Indian Single Malt Whisky | 46% | Premium Indian Whisky,ok:direct-parallel,Medium,38,0,0,23,rich extracted metadata
2026-04-18T05:34:19.632060+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-intermediate-sherry-57-1-duplicate/,Amrut Intermediate Sherry | Best Indian Single Malt Whisky | 57.1%,ok:direct-parallel,Medium,30,0,0,21,rich extracted metadata
2026-04-18T05:34:18.798197+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-indian-single-malt-whisky-aatma-single-cask-single-barrel-collector-series-56-5-duplicate/,Amrut Indian Single Malt Whisky | Amrut Aatma | Best Single Malt,ok:direct-parallel,Medium,30,0,0,17,rich extracted metadata
2026-04-18T05:32:51.281151+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-fusion-x-single-malt-whisky-50-duplicate/,AMRUT FUSION X SINGLE MALT WHISKY 50% | PREMIUM WHISKY,ok:direct-parallel,Medium,38,0,0,24,rich extracted metadata
2026-04-18T05:32:50.450708+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-herald-single-malt-whisky-60-8-59-6-duplicate/,Amrut Herald Single Malt Whisky | Best Indian Single Malt Whisky,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T05:32:49.618936+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-fusion-singlemalt-whisky-50-duplicate/,Amrut Fusion Single Malt Whisky 50% Duplicate | Premium Whisky,ok:direct-parallel,Medium,38,0,0,23,rich extracted metadata
2026-04-18T05:32:48.685509+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-fusion-xi-single-malt-whisky-50-duplicate/,Amrut Fusion XI 50% | Exclusive Indian Single Malt | Limited Anniversary Release,ok:direct-parallel,Medium,38,0,0,25,rich extracted metadata
2026-04-18T05:31:20.752041+00:00,distillery,Amrut,https://amrutdistilleries.com/news-article-2/,News & Article 2 - World's Best Single Malt Whisky | Amrut Distilleries Pvt. Ltd.,ok:direct-parallel,Medium,20,0,0,9,some extracted metadata
2026-04-18T05:31:19.929828+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-amalgam-malt-whiskey/,Indian Blended Malt Whiskey with Global Character | Amrut Amalgam,ok:direct-parallel,Medium,38,0,0,24,rich extracted metadata
2026-04-18T05:31:18.954314+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-100-peated-single-malt-whisky-57-1-duplicate/,Amrut 100 Peated Whisky | Premium Indian Single Malt Whisky,ok:direct-parallel,Medium,30,0,0,26,rich extracted metadata
2026-04-18T05:30:12.283821+00:00,distillery,Amrut,https://amrutdistilleries.com/amrut-amaze-indian-single-malt-whisky-50-duplicate/,,error:direct:direct-parallel https://amrutdistilleries.com/amrut-amaze-indian-single-malt-whisky-50-duplicate/: HTTP Error 404: Not Found,Low,0,0,0,0,
2026-04-18T05:30:09.295292+00:00,distillery,The Macallan,https://www.themacallan.com/,,error:direct:direct-rescrape https://www.themacallan.com/: HTTP Error 403: Forbidden,Low,0,0,0,0,
2026-04-18T05:30:09.050494+00:00,distillery,Highland Park,https://www.highlandparkwhisky.com/,,error:direct:direct-rescrape https://www.highlandparkwhisky.com/: HTTP Error 403: Forbidden,Low,0,0,0,0,
2026-04-18T05:30:08.634217+00:00,distillery,The Gospel Whisky,https://thegospelwhisky.com/,,error:direct:direct-rescrape https://thegospelwhisky.com/: <urlopen error timed out>,Low,0,0,0,0,
2026-04-18T01:54:39.358265+00:00,distillery,Uncle Nearest,https://unclenearest.com/transparency/,TRANSPARENCY - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,25,rich extracted metadata
2026-04-18T01:53:59.730452+00:00,distillery,Uncle Nearest,https://unclenearest.com/toasted-single-barrel-whiskey/,Toasted Single Barrel Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T01:53:58.919707+00:00,distillery,Uncle Nearest,https://unclenearest.com/tours/,Tours - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,14,rich extracted metadata
2026-04-18T01:53:58.915373+00:00,distillery,Uncle Nearest,https://unclenearest.com/terms-conditions/,Terms & Conditions - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T01:53:14.000075+00:00,distillery,Uncle Nearest,https://unclenearest.com/single-barrel-rye-whiskey/,Single Barrel Rye Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,20,0,0,5,some extracted metadata
2026-04-18T01:53:13.155234+00:00,distillery,Uncle Nearest,https://unclenearest.com/straight-rye-whiskey/,Straight Rye Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,18,rich extracted metadata
2026-04-18T01:53:12.338429+00:00,distillery,Uncle Nearest,https://unclenearest.com/single-barrel-whiskey/,Single Barrel Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,13,rich extracted metadata
2026-04-18T01:52:18.749961+00:00,distillery,Uncle Nearest,https://unclenearest.com/singlebarrelshowdown/,,error:direct:direct-parallel https://unclenearest.com/singlebarrelshowdown/: HTTP Error 404: Not Found,Low,0,0,0,0,
2026-04-18T01:52:15.603413+00:00,distillery,Uncle Nearest,https://unclenearest.com/shop/,Shop - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,16,rich extracted metadata
2026-04-18T01:52:14.785561+00:00,distillery,Uncle Nearest,https://unclenearest.com/private-events-and-tours/,Private Events and Tours - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:quarantined:direct-parallel,Low,14,1,0,2,low relevance score; quarantined to protect enrichment quality
2026-04-18T01:52:13.967829+00:00,distillery,Uncle Nearest,https://unclenearest.com/premium-aged-whiskey/,Premium Aged Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,14,rich extracted metadata
2026-04-18T01:52:13.964381+00:00,distillery,Uncle Nearest,https://unclenearest.com/privacy/,Privacy Policy - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T01:51:14.584980+00:00,distillery,Uncle Nearest,https://unclenearest.com/Loveand%20Whiskey_Chapter1Excerpt_singlepages.pdf,Loveand%20Whiskey_Chapter1Excerpt_singlepages.pdf,ok:direct-parallel,Medium,30,0,0,15,rich extracted metadata
2026-04-18T01:51:13.759315+00:00,distillery,Uncle Nearest,https://unclenearest.com/venue/booker-restaurant-bar/,Booker Restaurant & Bar - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,12,rich extracted metadata
2026-04-18T01:51:12.939079+00:00,distillery,Uncle Nearest,https://unclenearest.com/nearest-green-tennessee-whiskey/,Nearest Green Tennessee Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,28,0,0,10,some extracted metadata
2026-04-18T01:50:07.751684+00:00,distillery,Uncle Nearest,https://unclenearest.com/nearest-and-jack-advancement-initiative/,,error:direct:direct-parallel https://unclenearest.com/nearest-and-jack-advancement-initiative/: HTTP Error 404: Not Found,Low,0,0,0,0,
2026-04-18T01:49:58.279187+00:00,distillery,Uncle Nearest,https://unclenearest.com/nearest-green-distillery-faqs/,Nearest Green Distillery FAQ’s - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T01:49:57.451294+00:00,distillery,Uncle Nearest,https://unclenearest.com/live/,"Events from February 8, 2002 – May 18, 2020 – Uncle Nearest Premium Whiskey – 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee",ok:direct-parallel,Medium,30,0,0,12,rich extracted metadata
2026-04-18T01:49:56.623733+00:00,distillery,Uncle Nearest,https://unclenearest.com/loveandwhiskeybook/,loveandwhiskeybook - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,14,rich extracted metadata
2026-04-18T01:49:55.803526+00:00,distillery,Uncle Nearest,https://unclenearest.com/master-blend/,Master Blend Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,13,rich extracted metadata
2026-04-18T01:48:19.681278+00:00,distillery,Uncle Nearest,https://unclenearest.com/wp-content/uploads/2023/03/Rules-for-Road-to-a-Million-Sweepstakes-Mar-2023.pdf,Road to a Million - official rules,ok:direct-parallel,Medium,38,0,0,13,rich extracted metadata
2026-04-18T01:48:18.866724+00:00,distillery,Uncle Nearest,https://unclenearest.com/distillery-inquiry/,Distillery Inquiry - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,12,rich extracted metadata
2026-04-18T01:48:18.048470+00:00,distillery,Uncle Nearest,https://unclenearest.com/wp-content/uploads/2023/06/NGD-Funding-Guidelines-1.pdf,Funding Guidelines,ok:direct-parallel,Medium,20,0,0,9,some extracted metadata
2026-04-18T01:48:17.230502+00:00,distillery,Uncle Nearest,https://unclenearest.com/events/,Events - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,14,rich extracted metadata
2026-04-18T01:46:55.447062+00:00,distillery,Uncle Nearest,https://unclenearest.com/distributors/,Distributors - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,16,rich extracted metadata
2026-04-18T01:46:54.585721+00:00,distillery,Uncle Nearest,https://unclenearest.com/donation-sponsorship/,Donation & Sponsorship - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,20,0,0,5,some extracted metadata
2026-04-18T01:46:53.760901+00:00,distillery,Uncle Nearest,https://unclenearest.com/distillery/,Nearest Green Distillery - Most Awarded American Whiskey Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,14,rich extracted metadata
2026-04-18T01:46:52.943044+00:00,distillery,Uncle Nearest,https://unclenearest.com/events-or-sponsorship-request/,Events or Sponsorship Request - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,14,rich extracted metadata
2026-04-18T01:45:40.370662+00:00,distillery,Uncle Nearest,https://unclenearest.com/all-press/,All Press - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,20,0,0,7,some extracted metadata
2026-04-18T01:45:39.542932+00:00,distillery,Uncle Nearest,https://unclenearest.com/awards/,Awards - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,20,0,0,11,some extracted metadata
2026-04-18T01:45:38.724589+00:00,distillery,Uncle Nearest,https://unclenearest.com/cognac-cask-whiskey/,Cognac Cask Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,38,0,0,22,rich extracted metadata
2026-04-18T01:45:38.720260+00:00,distillery,Uncle Nearest,https://unclenearest.com/contact-us/,Contact Us - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T01:44:34.337256+00:00,distillery,Uncle Nearest,https://unclenearest.com/history/,History - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,20,0,0,8,some extracted metadata
2026-04-18T01:44:33.470117+00:00,distillery,Uncle Nearest,https://unclenearest.com/press/,Press – Uncle Nearest Premium Whiskey – 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,20,0,0,10,some extracted metadata
2026-04-18T01:44:32.654444+00:00,distillery,Uncle Nearest,https://unclenearest.com/1884-small-batch-whiskey/,1884 Small Batch Whiskey - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,ok:direct-parallel,Medium,30,0,0,13,rich extracted metadata
2026-04-18T01:44:32.650666+00:00,distillery,Uncle Nearest,https://unclenearest.com/accessibility/,Accessibility Statement - Uncle Nearest Premium Whiskey - 100 Proof from Tennessee Uncle Nearest Premium Whiskey – 100 Proof from Tennessee,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T01:43:41.229912+00:00,distillery,Jack Daniel's,https://www.jackdaniels.com/,,error:direct:direct-parallel https://www.jackdaniels.com/: HTTP Error 404: Not Found,Low,0,0,0,0,
